RegionID,SizeRank,RegionName,RegionType,StateName,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31
394492,32,"Columbus, OH",Msa,OH,8517.7469,8797.7863,7150.007,9055.6606,9143.2314,9568.3873,10270.5971,10056.0509,10199.3969,9624.6196,8349.5351,8200.5684,8295.3724,7578.9244,7108.4065,8073.6904,8627.1564,8589.583,10151.4853,10153.8325,9978.742,9212.9669,8932.6456,8445.5069,7853.6951,7125.5144,6889.7816,8086.1899,10253.0797,8775.3291,8678.7796,8849.333,9965.6377,9496.9971,10702.0532,9771.9774,11065.7327,10061.5264,8936.9223,9428.8508,13549.4254,12587.0106,14688.7892,12059.2186,13277.3467,12576.7096
394705,33,"Indianapolis, IN",Msa,IN,7733.3285,6812.9652,7469.41,8822.939,8487.213,8216.7099,8939.6478,9438.6177,9103.4056,9135.9071,8400.4029,8316.8778,7878.7903,7224.3234,7516.2224,7307.0159,7501.2803,9191.9894,9322.5236,10066.3813,8907.6172,8625.8208,8225.4258,8557.4041,7813.4623,7332.1783,6682.0655,7774.0306,8930.0234,9100.2473,8166.3908,8852.925,9826.5355,9881.2411,10102.8303,9394.5452,9378.5936,9321.8033,8065.5735,8961.3143,9291.8092,11915.1735,13006.0531,13754.6782,14280.7514,13149.088
395059,34,"San Jose, CA",Msa,CA,44772.3,27929.1295,19566.6522,73126.7805,75336.8197,76618.3697,87703.2792,78630.3176,79201.1542,56825.9764,56292.5933,63022.2859,61263.7061,54570.4496,39871.976,40257.7768,41980.1253,56755.5075,67709.8872,59869.2131,52795.1677,49256.5129,50261.4913,49135.0083,54360.4449,48159.2668,36234.365,41828.7486,38570.308,56421.28,36963.9361,54184.1439,56555.7115,61077.4204,70128.962,65110.5508,76072.7296,69214.7556,85939.4756,80392.3644,108082.9831,82068.4292,94125.2769,101030.0604,97263.7863,88480.9352
394355,35,"Austin, TX",Msa,TX,11930.8621,9944.8591,10146.4698,10719.1737,12609.7268,11700.1229,11932.3547,10914.0296,11015.1155,10555.6014,9886.2029,10851.0699,9707.5159,9671.3365,8000.9504,8658.3096,9744.3228,10452.4181,10022.2972,10945.5556,10435.563,10234.9525,9583.4969,10413.5774,7947.9126,8709.9884,8257.8014,8714.4486,11108.6912,13168.3856,10020.0425,11586.7584,12803.3558,15212.3682,15385.4579,15732.8035,14585.2074,19836.9889,22196.426,23405.9705,36165.7177,35794.6813,40799.8217,42632.0599,39978.9765,29473.2953
395194,36,"Virginia Beach, VA",Msa,VA,8138.5275,8122.9306,7246.3019,8111.1731,8356.231,9175.2691,8426.6427,8638.6755,8314.0746,8318.3689,8077.7925,8208.1162,7906.2712,7511.1744,7859.9281,8267.1077,8136.5126,8083.5195,8898.0486,9048.367,8862.3963,8272.9239,7793.613,7584.6245,6854.8842,6640.8991,6648.07,7242.5475,9041.5171,7437.2089,6622.1406,7082.885,7920.4741,7889.113,9170.5566,10050.2408,9613.8925,9475.1713,7745.621,9599.2314,9933.3963,11720.444,13078.5073,12353.8911,11624.9903,10889.1476
394902,37,"Nashville, TN",Msa,TN,11599.0701,10521.5327,10085.829,10312.9858,10491.8414,10561.5008,10488.0856,11793.381,11616.9442,11065.4315,10338.7161,10105.4884,9372.6586,8388.8879,8299.8947,8811.4601,8394.8417,8658.2346,10102.3129,10150.8597,9683.1362,10225.667,9419.9185,10374.4984,9726.6,8529.8314,8739.3373,8963.6163,11151.7618,10064.0636,7850.6101,9140.7137,9973.2631,11386.1122,13367.854,12576.0758,13432.4145,12029.927,12333.8823,12493.0265,16766.0907,14857.1799,23535.9533,21945.0593,23668.0826,21386.81
395005,38,"Providence, RI",Msa,RI,12815.0579,11995.5768,12028.4241,11134.9318,12680.4637,15368.0773,16752.985,13491.2792,16016.7654,15020.0534,14022.8866,13550.418,13811.7204,11008.8219,11633.259,10497.456,10448.0176,13332.7905,13793.0846,14394.7371,14919.4666,14595.2151,14863.7115,14593.3819,12416.4731,12067.5312,11403.3203,11266.9315,13260.9498,14386.5686,14066.0609,14964.605,18535.8726,21989.1871,23948.9241,20715.3403,19690.4614,16466.0107,13132.5703,18530.6569,19995.9205,25241.1221,26936.9266,29398.6864,32938.5425,29479.6088
394862,39,"Milwaukee, WI",Msa,WI,8072.9532,7245.7921,7421.148,7778.2201,8931.8506,9468.7897,10206.5578,10317.3196,10778.5792,10189.0628,9778.3174,8910.7285,8463.8427,7318.0296,6888.2203,7442.2719,9010.8735,10237.5389,9330.3144,11407.8353,10742.4905,10020.5839,8815.795,9261.0476,8180.2634,7340.9107,8060.5015,8039.1045,9379.9252,10038.6514,10100.711,12460.3086,12251.0297,13100.029,10408.9466,10852.2123,8900.4776,8537.3294,7978.7935,10079.3899,10370.3727,11082.1084,14994.2914,14298.0654,13480.0743,11495.1669
394714,40,"Jacksonville, FL",Msa,FL,9260.1673,8860.4129,8944.1201,9306.5089,9590.2081,8301.7097,8812.9774,9246.5408,9712.1622,8925.7145,8288.9651,7815.3592,8249.7507,7445.6385,7923.0266,8893.8742,8682.2361,8906.8563,8905.8042,9247.3674,8752.1549,8395.1295,7176.5831,7454.6494,7000.8044,7869.8123,7410.6412,7448.0757,8461.5864,7765.7441,5969.8585,6887.9284,8227.4737,8361.8923,9171.701,9859.5182,8786.971,7566.3168,8036.1227,8244.1597,11312.1352,13957.6897,14359.837,17763.1429,17705.9829,14544.8336
394849,41,"Memphis, TN",Msa,TN,7971.8686,7617.1723,7186.424,7251.9446,6968.7593,7174.4035,7400.4205,7601.0458,7679.8122,8183.362,7638.6259,7947.1723,7622.2998,9068.6889,6146.621,7201.8287,7615.2504,8642.8207,9503.4278,8695.2999,9441.6616,8735.2105,8299.4549,8923.5185,7899.8721,7599.9913,7367.1441,8034.7869,10089.78,8813.8858,8208.0866,9147.9746,9480.0078,9665.2845,9247.525,9906.6023,9664.5026,9248.6714,9830.9815,10117.9593,11174.3788,13690.1417,12344.008,12639.8139,14863.9485,13545.3475
